Bereich,HK_Code,HK_Titel,Leitfragen_Code,Praxisauftrag,Lehrjahr_Praxis,Leitfrage,Leistungsziel_Betrieb,Leistungsziel_UeK,BoK_Detail
a. Handeln in agilen Arbeits- und Organisationsformen,a1,Kaufmännische Kompetenzentwicklung überprüfen und weiterentwickeln,a1.1,SMARTe Ziele setzen und Massnahmen ableiten,2,Dokumentiere ich meine Kompetenzen und meine Kompetenzentwicklung zielführend?,,,
a. Handeln in agilen Arbeits- und Organisationsformen,a1,Kaufmännische Kompetenzentwicklung überprüfen und weiterentwickeln,a1.2,Aktiv an Qualifikationsgesprächen teilnehmen,1,Nehme ich in sinnvollen Abständen gewissenhaft eine persönliche Standortbestimmung vor?,,,
a. Handeln in agilen Arbeits- und Organisationsformen,a1,Kaufmännische Kompetenzentwicklung überprüfen und weiterentwickeln,a1.3,"Talente, Stärken & Schwächen entdecken",3,Nutze ich SMARTe Ziele und passende Massnahmen zur Zielerreichung für meine eigene berufliche Entwicklung?,,,
a. Handeln in agilen Arbeits- und Organisationsformen,a1,Kaufmännische Kompetenzentwicklung überprüfen und weiterentwickeln,a1.4,,,Treibe ich meine eigene berufliche Entwicklung proaktiv voran?,,,
a. Handeln in agilen Arbeits- und Organisationsformen,a2,Netzwerke im kaufmännischen Bereich aufbauen und nutzen,a2.1,Sich über berufliche Netzwerke informieren,1,"Bemühe ich mich aktiv, mein berufliches Netzwerk aufzubauen?",,,
a. Handeln in agilen Arbeits- und Organisationsformen,a2,Netzwerke im kaufmännischen Bereich aufbauen und nutzen,a2.2,Berufliches Netzwerk pflegen,3,Nutze ich mein berufliches Netzwerk zielgerichtet?,,,
a. Handeln in agilen Arbeits- und Organisationsformen,a2,Netzwerke im kaufmännischen Bereich aufbauen und nutzen,a2.3,Eigenes Profil auf Social Media updaten,3,Positioniere ich mich innerhalb des beruflichen Netzwerks angemessen?,,,
a. Handeln in agilen Arbeits- und Organisationsformen,a2,Netzwerke im kaufmännischen Bereich aufbauen und nutzen,a2.4,,,Halte ich mich zu den beruflichen Netzwerken in meiner Branche auf dem Laufenden?,,,
a. Handeln in agilen Arbeits- und Organisationsformen,a3,Kaufmännische Aufträge entgegennehmen und bearbeiten,a3.1,Auftrag klären und durchführen,2,Kann ich eine vollständige Auftragsklärung vornehmen?,,,
a. Handeln in agilen Arbeits- und Organisationsformen,a3,Kaufmännische Aufträge entgegennehmen und bearbeiten,a3.2,Rückmeldungen entgegennehmen,3,"Bin ich in der Lage, die Umsetzung meiner Aufträge sinnvoll zu planen?",,,
a. Handeln in agilen Arbeits- und Organisationsformen,a3,Kaufmännische Aufträge entgegennehmen und bearbeiten,a3.3,,,Gehe ich bei der Bearbeitung meiner Aufgaben strukturiert und zielgerichtet vor?,,,
a. Handeln in agilen Arbeits- und Organisationsformen,a3,Kaufmännische Aufträge entgegennehmen und bearbeiten,a3.4,,,Gehe ich konstruktiv mit Rückmeldungen anderer um?,,,
b. Interagieren in einem vernetzten Arbeitsumfeld,b1,In unterschiedlichen Teams zur Bearbeitung kaufmännischer Aufträge zusammenarbeiten und kommunizieren,b1.1,Teamspirit leben,2,Arbeite ich mit allen Teammitgliedern respektvoll zusammen?,,,
b. Interagieren in einem vernetzten Arbeitsumfeld,b1,In unterschiedlichen Teams zur Bearbeitung kaufmännischer Aufträge zusammenarbeiten und kommunizieren,b1.2,Regulatorische Vorgaben in Kundenbeziehungen umsetzen,1,"Gelingt es mir, die Ziele und Regeln meines Teams tatkräftig zu verfolgen und einzuhalten?","


b1.bank.bt4
Sie setzen gezielt die betrieblichen Vorgaben zur Nachhaltigkeit um. (K3)

","

 	 


",
